Adult,Adulto,69
Bus Stop,Parada de autobús,51
Fog,Niebla,56
Head,Cabeza,75
Male,Masculino,69
Man,Hombre,69
Nature,Naturaleza,96
Outdoors,Al aire libre,96
Person,Persona,75
Rain,Lluvia,50
Riot,Disturbio,50
Smog,Niebla tóxica,54
Smoke,Fumar,54
Snow,Nieve,53
Storm,Tormenta,52
Tornado,Tornado,52
Weather,Clima,94
Adult,Adulto,59
Fire,Fuego,54
Fog,Niebla,53
Head,Cabeza,70
Hurricane,Huracán,50
Male,Masculino,59
Man,Hombre,59
Nature,Naturaleza,88
Outdoors,Al aire libre,88
Person,Persona,71
Rain,Lluvia,51
Riot,Disturbio,53
Smog,Niebla tóxica,51
Smoke,Fumar,51
Storm,Tormenta,52
Tornado,Tornado,50
War,Guerra,50
Weather,Clima,72
Adult,Adulto,74
Fog,Niebla,50
Head,Cabeza,74
Male,Masculino,74
Man,Hombre,74
Nature,Naturaleza,63
Outdoors,Al aire libre,63
Person,Persona,76
Riot,Disturbio,82
Storm,Tormenta,51
Tornado,Tornado,50
Weather,Clima,57
Adult,Adulto,65
Fire,Fuego,50
Fog,Niebla,58
Hurricane,Huracán,51
Male,Masculino,65
Man,Hombre,65
Nature,Naturaleza,94
Outdoors,Al aire libre,94
Person,Persona,66
Riot,Disturbio,54
Smog,Niebla tóxica,53
Smoke,Fumar,54
Storm,Tormenta,53
Tornado,Tornado,51
War,Guerra,51
Weather,Clima,92
Adult,Adulto,83
Female,Femenino,54
Fire,Fuego,50
Fog,Niebla,76
Head,Cabeza,79
Hurricane,Huracán,51
Male,Masculino,83
Man,Hombre,83
Mist,Neblina,52
Nature,Naturaleza,94
Outdoors,Al aire libre,94
Person,Persona,83
Riot,Disturbio,54
Smog,Niebla tóxica,53
Smoke,Fumar,53
Snow,Nieve,50
Storm,Tormenta,52
War,Guerra,54
Weather,Clima,92
Woman,Mujer,54
Adult,Adulto,80
Face,Rostro,60
Female,Femenino,59
Fire,Fuego,52
Fog,Niebla,56
Head,Cabeza,72
Hurricane,Huracán,52
Male,Masculino,80
Man,Hombre,80
Mist,Neblina,50
Nature,Naturaleza,86
Outdoors,Al aire libre,87
Person,Persona,80
Riot,Disturbio,63
Smog,Niebla tóxica,51
Smoke,Fumar,51
Storm,Tormenta,52
War,Guerra,75
Weather,Clima,73
Woman,Mujer,59
Adult,Adulto,87
Face,Rostro,70
Female,Femenino,70
Fire,Fuego,53
Fog,Niebla,51
Head,Cabeza,74
Hurricane,Huracán,51
Male,Masculino,87
Man,Hombre,87
Nature,Naturaleza,59
Outdoors,Al aire libre,59
Person,Persona,87
Post Apocalyptic,post apocalíptico,53
Riot,Disturbio,65
Storm,Tormenta,51
War,Guerra,62
Weather,Clima,54
Woman,Mujer,70
Adult,Adulto,73
Fire,Fuego,55
Fog,Niebla,54
Hurricane,Huracán,53
Male,Masculino,73
Man,Hombre,73
Nature,Naturaleza,62
Outdoors,Al aire libre,62
Person,Persona,74
Post Apocalyptic,post apocalíptico,53
Riot,Disturbio,53
Smog,Niebla tóxica,51
Smoke,Fumar,52
Storm,Tormenta,53
War,Guerra,83
Weather,Clima,58
Adult,Adulto,76
Bride,Novia,51
Face,Rostro,57
Female,Femenino,61
Fire,Fuego,53
Fog,Niebla,58
Head,Cabeza,65
Hurricane,Huracán,51
Male,Masculino,76
Man,Hombre,76
Mist,Neblina,53
Nature,Naturaleza,89
Outdoors,Al aire libre,89
Person,Persona,78
Pollution,Contaminación,50
Post Apocalyptic,post apocalíptico,51
Riot,Disturbio,51
Smog,Niebla tóxica,53
Smoke,Fumar,54
Snow,Nieve,52
Storm,Tormenta,52
War,Guerra,57
Weather,Clima,74
Wedding,Boda,51
Woman,Mujer,61
Adult,Adulto,63
Fire,Fuego,51
Fog,Niebla,89
Head,Cabeza,74
Hurricane,Huracán,53
Male,Masculino,63
Man,Hombre,63
Mist,Neblina,81
Nature,Naturaleza,96
Outdoors,Al aire libre,96
Person,Persona,78
Smog,Niebla tóxica,55
Smoke,Fumar,55
Snow,Nieve,55
Storm,Tormenta,53
War,Guerra,50
Weather,Clima,94
Adult,Adulto,71
Female,Femenino,59
Fire,Fuego,54
Fog,Niebla,61
Head,Cabeza,66
Hurricane,Huracán,52
Male,Masculino,71
Man,Hombre,71
Mist,Neblina,55
Nature,Naturaleza,96
Outdoors,Al aire libre,96
Person,Persona,73
Post Apocalyptic,post apocalíptico,50
Smog,Niebla tóxica,52
Smoke,Fumar,53
Storm,Tormenta,52
War,Guerra,54
Weather,Clima,94
Woman,Mujer,59
